institution,collection,series,specimen,code,label_name,name,abnormal_side,maturity,sex,collector,identified_by,datum,continent,country,state_province,county_district,city,specific_locality,collection_mode,dec_lat,dec_long,date,previous_identifications,label_comments,comments,X,X.1,X.2,X.3,species
CRI,PCHP,,4944,PCHP4944,,Melanochelys trijuga indopeninsularis,NA,adult,f,William McCord,,,Asia,Burma,,,,,,NA,NA,1997,NA,Ad female Burma McCord 1997,Burma = Myanmar,,,,,Melanochelys trijuga
CRI,PCHP,,3330,PCHP3330,,Melanochelys trijuga thermalis,NA,adult,,M. Bennetti,,,,,,,,,,NA,NA,1990,NA,"No data (ex. M. Bennetti, died 1990)",,,,,,Melanochelys trijuga
CRI,PCHP,,7996,PCHP7996,,Malaclemys terrapin centrata,NA,adult,f,G. Heinrich,,,North America,USA,Florida,Duval,,"Sawpit Island, Highway A1A",,NA,NA,May-00,NA,"USA, FL, Duval Co., Sawpit Is., Hwy A1A; May 2000, G. Heinrich; Adult female",,,,,,Malaclemys terrapin
CRI,PCHP,,4073,PCHP4073,,Mauremys nigricans,NA,adult,f,William McCord,,,Asia,China,Guandong,,,Chan K'ang,,NA,NA,1993,NA,Ad. Female, W. McCord 1993, China_ Guandong: Chan K��_ang,,,,Mauremys nigricans
CRI,PCHP,,7715,PCHP7715,,Orlitia borneensis,NA,adult,,William McCord,,,,,,,,,,NA,NA,,NA,Adult, W. McCord,Very asymmetric,,,,Orlitia borneensis
CRI,PCHP,,3826,PCHP3826,,Rhinoclemmys diademata,NA,adult,m,,,,South America,Venezuela,Zulia,,,,,NA,NA,,NA,Ad. Male. Venezuela: Zulia (No precise data).,,,,,,Rhinoclemmys diademata
CRI,PCHP,,1339,PCHP1339,,Rhinoclemmys diademata,NA,adult,f,,,,South America,Venezuela,Zulia,,,,,NA,NA,Dec-78,NA,"Ad. Female. Venezuela: Zulia (ex Maracaibo, Dec. '78).",,,,,,Rhinoclemmys diademata
CRI,PCHP,,7597,PCHP7597,,Rhinoclemmys pulcherrima manni,NA,adult,f,D. Uhrig,,,,,,,,,,NA,NA,2003,NA,"Ad female; No precise data; Don. D. Uhrig, 2003.",,,,,,Rhinoclemmys pulcherrima
CRI,PCHP,,11899,PCHP11899,,Rhinoclemmys pulcherrima manni,NA,adult,f,,,,Central America,Costa Rica,,,,,,NA,NA,2006,NA,Ad female, Costa Rica,2006,,,,Rhinoclemmys pulcherrima
CRI,PCHP,,2871,PCHP2871,,Rhinoclemmys punctularia,NA,adult,,K. Herzog,,,South America,Guyana,,,,,,NA,NA,1988,NA,"Guyana (K. Herzog, 1988).",,,,,,Rhinoclemmys punctularia
CRI,PCHP,,3706,PCHP3706,,Rhinoclemmys punctularia,NA,adult,f,,,,,,,,,,,NA,NA,,NA,Ad. Female, No data,,,,,Rhinoclemmys punctularia
CRI,PCHP,,348,PCHP348,,Rhinoclemmys funerea,NA,adult,f,D. Ehrenfeld,,,Central America,Costa Rica,Limon,,,Tortuguero,,NA,NA,1971,NA,"Ad. Female. Costa Rica: Limon Prov: Tortuguero. Coll D. Ehrenfeld, 1966. Additional note: ""Rhinoclemmys funerea; near mouth of Rio Tortuguero; Limon Prov, Costa Rica. Coll. D. Ehrenfeld, summer 1966. Died 1971","Abnormality: Presence of a right ""prepleural"" of about 1/3 the size of the first right pleural. Presence of a smaller left ""prepleural"" of about one fifth the size of the right prepleural.",,,,,Rhinoclemmys funerea
CRI,PCHP,,7699,PCHP7699,,Rhinoclemmys funerea,NA,adult,f,A. Weinburg,,,Central America,Nicaragua,,,,,,NA,NA,2004,NA,"Adult female; Nicaragua; A. Weinburg, 2004",Cervical absent,,,,,Rhinoclemmys funerea
CRI,PCHP,,2961,PCHP2961,,Rhinoclemmys funerea,NA,adult,m,J. Allen,,,Central America,Costa Rica,,,,,,NA,NA,1990,NA,"Costa Rica. (W. Allen, 1990). Ad. Male.",Plastral concavity, Fifth vertebral might be abnormally elongate,,,,Rhinoclemmys funerea
CRI,PCHP,,2441,PCHP2441,,Rhinoclemmys melanosterna,NA,adult,,J. Friedman,,,,,,,,,captive-hatched,NA,NA,,NA,Captive-hatched. (J. Friedman). Caribbean type.,8 vertebrals,,,,,Rhinoclemmys melanosterna
CRI,PCHP,,2438,PCHP2438,,Rhinoclemmys melanosterna,NA,adult,,,,,South America,Ecuador,Esmeraldas,,Borbon,,,NA,NA,Mar-87,NA,"Ecuador: Borb��_n, Prov. Esmeraldas.Mch. '87",,,,,,Rhinoclemmys melanosterna
CRI,PCHP,,2440,PCHP2440,,Rhinoclemmys melanosterna,NA,adult,,,,,South America,Ecuador,Esmeraldas,,Borbon,,,NA,NA,Apr-87,NA,"Ecuador: Borb��_n, Prov. Esmeraldas.Mch. '87",,,,,,Rhinoclemmys melanosterna
CRI,PCHP,,4198,PCHP4198,,Rhinoclemmys melanosterna,NA,subadult,,William McCord,,,,,,,,,captive-raised,NA,NA,1994,NA,Subad. Captive raised (R. Wicker). W. McCord '94,"Carapace and plastron separated, but fit well and were put together for digitisation.",,,,,Rhinoclemmys melanosterna
CRI,PCHP,,2962,PCHP2962,,Rhinoclemmys annulata,NA,adult,m,William McCord,,,South America,Ecuador,,,,,,NA,NA,1990,NA,"Ad. Male. Ecuador. (ex. W. McCord, 1990).",Shallow plastral concavity,,,,,Rhinoclemmys annulata
CRI,PCHP,,1222,PCHP1222,,Rhinoclemmys annulata,NA,adult,f,K. Nemuras,,,no data,no data,no data,no data,no data,no data,,NA,NA,,NA,No data. (ad. Female). Ex. K. Nemuras.,,,,,,Rhinoclemmys annulata
CRI,PCHP,,2443,PCHP2443,,Rhinoclemmys nasuta,NA,adult,,,,,South America,Ecuador,Esmeraldas,,Borbon,,,NA,NA,Mar-87,NA,"Borb��_n, Prov. Esmeraldas, Mch. '87",,,,,,Rhinoclemmys nasuta
CRI,PCHP,,2442,PCHP2442,,Rhinoclemmys nasuta,NA,adult,,,,,South America,Ecuador,Esmeraldas,,Borbon,,,NA,NA,Mar-88,NA,"Ecuador: Borb��_n, Prov. Esmeraldas, Mch. '88",,,,,,Rhinoclemmys nasuta
CRI,PCHP,,2963,PCHP2963,,Rhinoclemmys areolata,NA,adult,m,J. Widows,,,Central America,Belize,,,Placencia,,,NA,NA,1990,NA,"Ad. Male. Belize: Placencia. (J. Widows, 1990)",,,,,,Rhinoclemmys areolata
CRI,PCHP,,2775,PCHP2775,,Rhinoclemmys areolata,NA,adult,,R.Wicker / W. McCord,,,,,,,,,captive-hatched,NA,NA,1989,NA,"Ad. Captive hatched (R. Wicker / W. McCord, 1989)",,,,,,Rhinoclemmys areolata
CRI,PCHP,,207,PCHP207,,Rhinoclemmys pulcherrima rogerbauri,NA,adult,,Bill Chase,,,North America,Mexico,,,,,,NA,NA,,NA,"No data. / On the plastron: ""MEXICO (EX. BILL CHASE)""",,,,,,Rhinoclemmys pulcherrima
CRI,PCHP,,12202,PCHP12202,,Sacalia bealei,NA,adult,f,T. Walsh,,,no data,no data,no data,no data,no data,no data,,NA,NA,2006,NA,Ad. female, no data, T. Walsh 2006,,,,Sacalia bealei
CRI,PCHP,,2619,PCHP2619,,Sacalia bealei,NA,adult,f,,,,no data,no data,no data,no data,no data,no data,pet farm,NA,NA,,NA,Ad. female. No data (pet farm).,,,,,,Sacalia bealei
CRI,PCHP,,4656,PCHP4656,,Sacalia quadriocellata,NA,adult,f,William McCord,,,Asia,China,Hainan,,,,,NA,NA,Sep-96,NA,"Ad. female. China: Hainan?; W. McCord, Sept, 1996.",,,,,,Sacalia quadriocellata
CRI,PCHP,,8428,PCHP8428,,Sacalia quadriocellata,NA,subadult,f,Tim Walsh,,,Asia,China,,,,,,NA,NA,2005,NA,"Sub-adult female; China, no data; Tim Walsh: CAT.2005",,,,,,Sacalia quadriocellata
CRI,PCHP,,2509,PCHP2509,,Siebenrockiella crassicollis,NA,adult,,M. Bennett,,,no data,no data,no data,no data,no data,no data,,NA,NA,1987,NA,"No data (ex. M. Bennett, 1987)",,,,,,Siebenrockiella crassicollis
CRI,PCHP,,2508,PCHP2508,,Siebenrockiella crassicollis,NA,adult,,M. Bennett,,,no data,no data,no data,no data,no data,no data,,NA,NA,1987,NA,"No data (ex. M. Bennett, 1987)",,,,,,Siebenrockiella crassicollis
CRI,PCHP,,3392,PCHP3392,,Batagur borneoensis,NA,subadult,f,E. Moll,,,Asia,Malaysia,,,,,,NA,NA,,NA,Subad. female. Malaysia. Ex. E. Moll.,Extensive fenestration: anterior landmarks of the suprapygal were not available,,,,,Batagur borneoensis
CRI,PCHP,,2936,PCHP2936,,Pangshura smithii smithii,NA,adult,,William McCord,,,Asia,Bangladesh,,,,,,NA,NA,1990,NA,"Bangladesh. W. McCord, 1990.",,,,,,Pangshura smithii
CRI,PCHP,,2934,PCHP2934,,Pangshura smithii smithii,NA,adult,,William McCord,,,Asia,Bangladesh,,,,,,NA,NA,1990,NA,"Bangladesh. W. McCord, 1990.",,,,,,Pangshura smithii
CRI,PCHP,,3457,PCHP3457,,Batagur dhongoka,NA,adult,m,,,,Asia,Bangladesh,,,Dhaka,,,NA,NA,,NA,Ad male, Bangladesh: Dhaka,Too worn to be digitised reliably,,,,Batagur dhongoka
CRI,PCHP,,3458,PCHP3458,,Batagur dhongoka,NA,adult,m,,,,Asia,Bangladesh,,,Dhaka,,,NA,NA,,NA,Ad male, Bangladesh: Dhaka,,,,,Batagur dhongoka
CRI,PCHP,,3944,PCHP3944,,Batagur dhongoka,NA,adult,m,William McCord,,,Asia,Bangladesh,,,Dhaka,,market,NA,NA,1992,NA,Ad. male. Bangladesh: Dakha mkt. W. McCord 1992,,,,,,Batagur dhongoka
CRI,PCHP,,2941,PCHP2941,,Pangshura tentoria,NA,adult,f,William McCord,,,Asia,Bangladesh,,,Dhaka,,market,NA,NA,1990,NA,"Ad. female. Bangladesh: Dhaka mkt. W.McCord, 1990.",,,,,,Pangshura tentoria
CRI,PCHP,,2940,PCHP2940,,Pangshura tentoria,NA,adult,f,William McCord,,,Asia,Bangladesh,,,Dhaka,,market,NA,NA,1990,NA,"Ad. female. Bangladesh. Dhaka mkt. W.McCord, 1990.",,,,,,Pangshura tentoria
CRI,PCHP,,7542,PCHP7542,,Manouria emys phayrei,NA,subadult,,,,,no data,no data,no data,no data,no data,no data,,NA,NA,,NA,Subdadult. No data.,,,,,,Manouria emys
CRI,PCHP,,6502,PCHP6502,,Batagur baska,NA,adult,m,William McCord,,,no data,no data,no data,no data,no data,no data,,NA,NA,2000,NA,Ad. male. No data. W. McCord 2000.,,,,,,Batagur baska
CRI,PCHP,,3366,PCHP3366,,Orlitia borneensis,NA,adult,f,A. Wong / W. McCord,,,Asia,Malaysia,Penang,,,,,NA,NA,1991,NA,Ad. female. Malaysia: Penang (A. Wong / W. McCord). 1991.,,,,,,Orlitia borneensis
CRI,PCHP,,3600,PCHP3600,,Gopherus polyphemus,NA,adult,m,,,,,,,,,,,NA,NA,,NA,Ad male No data,No apparent abnormalities,,,,,Gopherus polyphemus
CRI,PCHP,,1086,PCHP1086,Ocadia sinensis,Mauremys sinensis,NA,adult,m,,,,,,,,,,,NA,NA,,NA,No data,,,,,,Mauremys sinensis
FMNH,,,6736,FMNH6736,Chinemys reevesii,Mauremys reevesii,NA,adult,,J. W. Williams,,,Asia,China,Hunan,,Changsha,,,NA,NA, Aug 1920,NA,Cleaned shell without other skeleton.,,,,,,Mauremys reevesii
FMNH,,,19714,FMNH19714,Mauremys caspica caspica,Mauremys caspica caspica,NA,adult,,"Henry Field (Dr), Richard A Martin",,,Asia,Iraq,,,,,,NA,NA,1934,NA,,,,,,,Mauremys caspica
FMNH,,,22054,FMNH22054,Melanochelys trijuga,Geoemydidae sp unk,NA,adult,,J. W. Williams,,,Asia,,,,,Borneo,,NA,NA,,NA,Originally cataloged as Nicoria trijuga. M. trijuga does not occur on Borneo.,,,,,,Geoemydidae sp
FMNH,,,63269,FMNH63269,Notochelys platynota,Notochelys platynota,NA,adult,,R. F. Inger,,,Asia,North Borneo,East Coast Residency, Kinabatangan Dist,,SE end of Dewhurst Bay,,5.533333333,118.5666667,24-May-50,NA,Stream in primary forest. ID by R Z 1950.,,,,,,Notochelys platynota
FMNH,,,142680,FMNH142680,Notochelys platynota,Notochelys platynota,NA,adult,,K. Rohde,,,Asia,Malaya,,,Kuala Lumpur,,,NA,NA,20-May-64,NA,,,,,,,Notochelys platynota
FMNH,,,224004,FMNH224004,Orlitia borneensis,Orlitia borneensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Pahang,,,Tasek Bera,,NA,NA,22-Oct-75,NA,,,,,,,Orlitia borneensis
FMNH,,,224016,FMNH224016,Cuora amboinensis,Cuora amboinensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,, Tapah Road Estate,6 mi Chenderong Balai,,NA,NA,22-Oct-75,NA,See FMNH 224113.,,,,,,Cuora amboinensis
FMNH,,,224023,FMNH224023,Cuora amboinensis,Cuora amboinensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Pahang,,,Tasek Bera,,NA,NA,02-Dec-75,NA,Testis imbedded in paraffin. Gonads in separate jar.,,,,,,Cuora amboinensis
FMNH,,,224039,FMNH224039,Heosemys grandis,Heosemys grandis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,,Batu Gajah,,pet shop,NA,NA,25-Mar-76,NA,,,,,,,Heosemys grandis
FMNH,,,224040,FMNH224040,Heosemys grandis,Heosemys grandis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,,Batu Gajah,,pet shop,NA,NA,25-Nov-75,NA,,,,,,,Heosemys grandis
FMNH,,,224049,FMNH224049,Notochelys platynota,Notochelys platynota,NA,adult,,E. O. Moll,,,Asia,Malaysia,Trengganu,,,"Sungei Pueh river,  5 km W Kuala Brang",,NA,NA,02-May-76,NA,S & P,,,,,,Notochelys platynota
FMNH,,,224051,FMNH224051,Notochelys platynota,Notochelys platynota,NA,adult,,E. O. Moll,,,Asia,Malaysia,Pahang: Taman Negara,,,"Taman Negara national park, Kg. Tahan",,NA,NA,28-May-76,NA,,,,,,,Notochelys platynota
FMNH,,,224052,FMNH224052,Notochelys platynota,Notochelys platynota,NA,juvenile,,E. O. Moll,,,Asia,Malaysia,Perak,Kinta,Batu Gajah,,market,NA,NA,20-Sep-75,NA,Im.,,,,,,Notochelys platynota
FMNH,,,224059,FMNH224059,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Pahang,,,Tasek Bera,,NA,NA,22-Oct-75,NA,,,,,,,Siebenrockiella crassicollis
FMNH,,,224061,FMNH224061,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,,Batu Gajah,,pet shop,NA,NA,19-Nov-75,NA,Head & limbs in EtOH.,,,,,,Siebenrockiella crassicollis
FMNH,,,224077,FMNH224077,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Trengganu,Besut,,"Sungei Kederang stream, 9 km W Penarik",,NA,NA,23-Jul-78,NA,S & P. Head & limbs in EtOH.,,,,,,Siebenrockiella crassicollis
FMNH,,,224079,FMNH224079,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Trengganu,Besut,,"Sungei Kederang stream, 9 km W Penarik",,NA,NA,24-Jul-78,NA,Testis imbedded in paraffin.,,,,,,Siebenrockiella crassicollis
FMNH,,,224083,FMNH224083,Cyclemys dentata,Cyclemys dentata,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,Kinta,Batu Gajah,,market,NA,NA,22-Oct-75,NA,Ovaries in separate jar.,,,,,,Cyclemys dentata
FMNH,,,224092,FMNH224092,Cyclemys dentata,Cyclemys dentata,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,Kinta,Batu Gajah,,pet shop,NA,NA,19-Nov-75,NA,See FMNH 224139,,,,,,Cyclemys dentata
FMNH,,,224095,FMNH224095,Batagur baska,Batagur baska,NA,adult,,E. O. Moll,,,Asia,Malaysia,,Telok Anson,Kampong Durian Sebatang,Bidor River,,NA,NA,09-Dec-75,NA,,,,,,,Batagur baska
FMNH,,,224096,FMNH224096,Callagur borneoensis,Batagur borneoensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,Kinta,Batu Gajah,,pet shop,NA,NA,08-Nov-75,NA,,,,,,,Batagur borneoensis
FMNH,,,224097,FMNH224097,Batagur baska,Batagur baska,NA,adult,,E. O. Moll,,,Asia,Malaysia,,Telok Anson,Kampong Durian Sebatang,Bidor River,,NA,NA,09-Dec-75,NA,,,,,,,Batagur baska
FMNH,,,224106,FMNH224106,Kachuga dhongoka,Batagur dhongoka,NA,adult,,E. O. Moll,,,Asia,India,Uttar Pradesh,,,"Hindon River, trib of Yumna, dear Delhi",,NA,NA,04-Mar-80,NA,,,,,,,Batagur dhongoka
FMNH,,,224112,FMNH224112,Cuora amboinensis,Cuora amboinensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Perak,Batu 18,,Telok Anson to Bidor,,NA,NA,14-Nov-75,NA,,,,,,,Cuora amboinensis
FMNH,,,224150,FMNH224150,Morenia petersi,Morenia petersi,NA,juvenile,,E. O. Moll,,,Asia,India,Bihar,,,"Udaipur Forest, Oxbow Lake, 15 km W Bettiah",,NA,NA,10-Jun-83,NA,S & P,,,,,,Morenia petersi
FMNH,,,224152,FMNH224152,Kachuga kachuga,Batagur kachuga,NA,adult,,E. O. Moll,,,Asia,India,Uttar Pradesh,,, Bateshwar,"Yumuna River, 13 km N Bah",NA,NA,10-Apr-83,NA,,,,,,,Batagur kachuga
FMNH,,,224153,FMNH224153,Hardella thurjii,Hardella thurjii,NA,adult,,E. O. Moll,,,Asia,India,Uttar Pradesh,,,"Gompti River, near Lucknow",,NA,NA,12-Jan-83,NA,,,,,,,Hardella thurjii
FMNH,,,224185,FMNH224185,Kachuga tentoria,Pangshura tentoria,NA,adult,,E. O. Moll,,,Asia,India,Uttar Pradesh,,,"Gompti River, near Lucknow",,NA,NA,12-Jan-83,NA,,,,,,,Pangshura tentoria
FMNH,,,224189,FMNH224189,Heosemys silvatica,Vijayachelys silvatica,NA,juvenile,,E. O. Moll,,,Asia,India,Kerala,Chalakudy,,vicinity of Anaipandam,,NA,NA,08-Jan-83,NA,Researcher obtained good DNA sequences from dried tissue of this specimen (2004-2005).,,,,,,Vijayachelys silvatica
FMNH,,,224247,FMNH224247,Melanochelys trijuga,Melanochelys trijuga,NA,adult,,E. O. Moll,,,Asia,India,Andhra Pradesh: near Hyderabad,,,"Osman Sagar Reservoir Dam, overflow ponds",,NA,NA,27-Nov-82,NA,,,,,,,Melanochelys trijuga
FMNH,,,224248,FMNH224248,Melanochelys trijuga,Melanochelys trijuga,NA,adult,,E. O. Moll,,,Asia,India,Tamil Nadu,,Madras,"Injambakkam, 10 km S Adyar",,NA,NA,02-Oct-82,NA,,,,,,,Melanochelys trijuga
FMNH,,,251499,FMNH251499,Callagur borneoensis,Batagur borneoensis,NA,adult,,E. O. Moll,,,Asia,Malaysia,Selangor,,,"near Kuala Sungei Langat, Straits of Malacca, 7 km N Morib",,NA,NA,09-Dec-89,NA,,,,,,,Batagur borneoensis
FMNH,,,259430,FMNH259430,Kachuga tentoria flaviventer,Pangshura tentoria flaviventer,NA,subadult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,Animal dealer specimens from Bangladesh 1/8/93.,,,,,,Pangshura tentoria
FMNH,,,259432,FMNH259432,Hieremys annandalii,Heosemys annandalii,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,,,,,,,Heosemys annandalii
FMNH,,,259433,FMNH259433,Kachuga tentoria flaviventer,Pangshura tentoria flaviventer,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,Animal dealer specimens from Bangladesh 1/8/93.,,,,,,Pangshura tentoria
FMNH,,,260377,FMNH260377,Morenia petersi,Morenia petersi,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,,,,,,,Morenia petersi
FMNH,,,260381,FMNH260381,Geoemyda spengleri,Geoemyda spengleri,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,,,,,,,Geoemyda spengleri
FMNH,,,260382,FMNH260382,Heosemys spinosa,Heosemys spinosa,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,08-Jan-87,NA,"From Ipohmarket, Perak, Malaysia.",,,,,,Heosemys spinosa
FMNH,,,260384,FMNH260384,Kachuga smithii,Pangshura smithii,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,Animal dealer specimens from Bangladesh 1/8/93.,,,,,,Pangshura smithii
FMNH,,,260385,FMNH260385,Notochelys platynota,Notochelys platynota,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,Malaysian animal dealer.,,,,,,Notochelys platynota
FMNH,,,260386,FMNH260386,Kachuga tecta,Pangshura tecta,NA,adult,,E. O. Moll,,,Asia,India,Uttar Pradesh,,,"Kukrail, near Lucknow",,NA,NA,12-Jan-83,NA,,,,,,,Pangshura tecta
FMNH,,,260444,FMNH260444,Kachuga smithii,Pangshura smithii,NA,adult,,J. W. Williams,,,Herps - No Locality Data,,,,,,,NA,NA,,NA,Animal dealer specimens from Bangladesh 1/8/93.,,,,,,Pangshura smithii
FMNH,,,263052,FMNH263052,Hieremys annandalii,Heosemys annandalii,NA,adult,,"Steven G Platt, Long Kheng, Heng Sovannara",,,Asia,Cambodia,Siem Reap,Siem Reap,,a floating village near Choeng Khneas (on the lake south of Siem Reap),,NA,NA,04-Oct-00,NA,Carapace only.,,,,,,Heosemys annandalii
FMNH,,,224099,FMNH224099,Batagur borneoensis,Batagur borneoensis,NA,adult,m,E. O. Moll,,,Asia,Malaya,Perak,,,,,,,,,,,,,,,
